genre,Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
classical,149.5,0.23352499999999998,0.10341160000000002,5.07,-23.843650000000004,0.67,0.04561899999999998,0.9373000000000001,0.6260766208999998,0.11611600000000002,0.14586400000000002,97.27622000000001
country,249.5,0.62276,0.6455999999999997,5.6,-7.621569999999998,0.96,0.039358000000000004,0.2479235999999999,0.00010493660000000001,0.17944700000000002,0.6187499999999999,125.99512999999997
hiphop,449.5,0.7457700000000004,0.6919199999999998,5.8,-7.9090400000000045,0.47,0.24171200000000007,0.133555,0.008395357200000002,0.22389499999999998,0.6794700000000001,104.07002000000004
jazz,549.5,0.50714,0.25586499999999995,4.52,-15.191939999999997,0.49,0.043603,0.81607,0.44567099580000025,0.15890799999999994,0.3860490000000001,111.81853000000001
metal,649.5,0.37047,0.8812199999999999,5.03,-7.0263,0.59,0.078705,0.0131150254,0.19420682549999999,0.21050999999999995,0.340817,124.64920000000002
pop,749.5,0.64794,0.6140479999999999,5.06,-5.854399999999999,0.62,0.07336500000000001,0.23397619,0.0036171861999999993,0.127993,0.48354700000000017,120.48142000000001
